spore,metric,unit,paper_metrics
max_windoff/spore_3,electricity_production_gini,fraction,0.6694216734728493
max_windoff/spore_3,transport_electrification,percentage,99.99876677289005
max_windoff/spore_3,heat_electrification,percentage,5.450092111198917
max_windoff/spore_3,storage_discharge_capacity,tw,0.014116860395926535
max_windoff/spore_3,average_national_import,twh,10.29990791152108
max_windoff/spore_4,electricity_production_gini,fraction,0.6694216734728493
max_windoff/spore_4,transport_electrification,percentage,99.99876677289005
max_windoff/spore_4,heat_electrification,percentage,5.450092111198917
max_windoff/spore_4,storage_discharge_capacity,tw,0.014116860395926535
max_windoff/spore_4,average_national_import,twh,10.29990791152108
max_windoff/spore_5,electricity_production_gini,fraction,0.6694216734728493
max_windoff/spore_5,transport_electrification,percentage,99.99876677289005
max_windoff/spore_5,heat_electrification,percentage,5.450092111198917
max_windoff/spore_5,storage_discharge_capacity,tw,0.014116860395926535
max_windoff/spore_5,average_national_import,twh,10.29990791152108
max_windon/spore_0,electricity_production_gini,fraction,0.6268254477255376
max_windon/spore_0,transport_electrification,percentage,99.99953532505653
max_windon/spore_0,heat_electrification,percentage,3.9299300430106023
max_windon/spore_0,storage_discharge_capacity,tw,0.011054055722245321
max_windon/spore_0,average_national_import,twh,8.090472533996676
max_windon/spore_1,electricity_production_gini,fraction,0.6243197771700714
max_windon/spore_1,transport_electrification,percentage,99.99940671094743
max_windon/spore_1,heat_electrification,percentage,12.008618295470775
max_windon/spore_1,storage_discharge_capacity,tw,0.043826809789586224
max_windon/spore_1,average_national_import,twh,10.114926739402485
max_windon/spore_2,electricity_production_gini,fraction,0.6243197771700714
max_windon/spore_2,transport_electrification,percentage,99.99940671094743
max_windon/spore_2,heat_electrification,percentage,12.008618295470775
max_windon/spore_2,storage_discharge_capacity,tw,0.043826809789586224
max_windon/spore_2,average_national_import,twh,10.114926739402485
max_windon/spore_3,electricity_production_gini,fraction,0.6243197771700714
max_windon/spore_3,transport_electrification,percentage,99.99940671094743
max_windon/spore_3,heat_electrification,percentage,12.008618295470775
max_windon/spore_3,storage_discharge_capacity,tw,0.043826809789586224
max_windon/spore_3,average_national_import,twh,10.114926739402485
max_windon/spore_4,electricity_production_gini,fraction,0.6243197771700714
max_windon/spore_4,transport_electrification,percentage,99.99940671094743
max_windon/spore_4,heat_electrification,percentage,12.008618295470775
max_windon/spore_4,storage_discharge_capacity,tw,0.043826809789586224
max_windon/spore_4,average_national_import,twh,10.114926739402485
max_windon/spore_5,electricity_production_gini,fraction,0.6243197771700714
max_windon/spore_5,transport_electrification,percentage,99.99940671094743
max_windon/spore_5,heat_electrification,percentage,12.008618295470775
max_windon/spore_5,storage_discharge_capacity,tw,0.043826809789586224
max_windon/spore_5,average_national_import,twh,10.114926739402485
min_bat/spore_0,electricity_production_gini,fraction,0.6268254477255376
min_bat/spore_0,transport_electrification,percentage,99.99953532505653
min_bat/spore_0,heat_electrification,percentage,3.9299300430106023
min_bat/spore_0,storage_discharge_capacity,tw,0.011054055722245321
min_bat/spore_0,average_national_import,twh,8.090472533996676
min_bat/spore_1,electricity_production_gini,fraction,0.5879577133255964
min_bat/spore_1,transport_electrification,percentage,99.12001348307862
min_bat/spore_1,heat_electrification,percentage,8.96495131108075
min_bat/spore_1,storage_discharge_capacity,tw,2.8129423888181284
min_bat/spore_1,average_national_import,twh,7.045391627503978
min_bat/spore_2,electricity_production_gini,fraction,0.5879577133255964
