region,carriers,spore,final_consumption_twh
Albania,coal,41,2.5593275495399994
Albania,coal,42,2.5593275495399994
Albania,coal,43,2.5593275495399994
Albania,coal,44,2.5593275495399994
Albania,coal,45,2.5593275495399994
Albania,coal,46,2.5593275495399994
Albania,coal,47,2.5593275495399994
Albania,coal,48,2.5593275495399994
Albania,coal,49,2.5593275495399994
Albania,coal,50,2.5593275495399994
Albania,coal,51,2.5593275495399994
Albania,coal,52,2.5593275495399994
Albania,coal,53,2.5593275495399994
Albania,coal,54,2.5593275495399994
Albania,coal,55,2.5593275495399994
Albania,coal,56,2.5593275495399994
Albania,coal,57,2.5593275495399994
Albania,coal,58,2.5593275495399994
Albania,coal,59,2.5593275495399994
Albania,coal,60,2.5593275495399994
Albania,coal,61,2.5593275495399994
Albania,coal,62,2.5593275495399994
Albania,coal,63,2.5593275495399994
Albania,coal,64,2.5593275495399994
Albania,coal,65,2.5593275495399994
Albania,coal,66,2.5593275495399994
Albania,coal,67,2.5593275495399994
Albania,coal,68,2.5593275495399994
Albania,coal,69,2.5593275495399994
Albania,coal,70,2.5593275495399994
Albania,coal,71,2.5593275495399994
Albania,coal,72,2.5593275495399994
Albania,coal,73,2.5593275495399994
Albania,coal,74,2.5593275495399994
Albania,coal,75,2.5593275495399994
Albania,coal,76,2.5593275495399994
Albania,coal,77,2.5593275495399994
Albania,coal,78,2.5593275495399994
Albania,coal,79,2.5593275495399994
Albania,coal,80,2.5593275495399994
Albania,coal,81,2.5593275495399994
Albania,coal,82,2.5593275495399994
Albania,coal,83,2.5593275495399994
Albania,coal,84,2.5593275495399994
Albania,coal,85,2.5593275495399994
Albania,coal,86,2.5593275495399994
Albania,coal,87,2.5593275495399994
Albania,coal,88,2.5593275495399994
Albania,coal,89,2.5593275495399994
Albania,coal,90,2.5593275495399994
Albania,coal,91,2.5593275495399994
Albania,coal,92,2.5593275495399994
Albania,coal,93,2.5593275495399994
Albania,coal,94,2.5593275495399994
Albania,coal,95,2.5593275495399994
Albania,coal,96,2.5593275495399994
Albania,coal,97,2.5593275495399994
Albania,coal,98,2.5593275495399994
Albania,coal,99,2.5593275495399994
Albania,coal,100,2.5593275495399994
Albania,coal,101,2.5593275495399994
Albania,coal,102,2.5593275495399994
Albania,coal,103,2.5593275495399994
Albania,coal,104,2.5593275495399994
Albania,coal,105,2.5593275495399994
Albania,coal,106,2.5593275495399994
Albania,coal,107,2.5593275495399994
Albania,coal,108,2.5593275495399994
Albania,coal,109,2.5593275495399994
Albania,coal,110,2.5593275495399994
Albania,coal,111,2.5593275495399994
Albania,coal,112,2.5593275495399994
Albania,coal,113,2.5593275495399994
Albania,coal,114,2.5593275495399994
