importing_region,exporting_region,year,spore,capacity_gw
BEL_1,FRA_13,2030,0,1.3534253559229246
BEL_1,FRA_13,2030,21,2.2046662969589894
BEL_1,FRA_13,2030,32,6.591362347720272
BEL_1,FRA_13,2030,77,5.661450426670312
BEL_1,FRA_13,2030,100,9.02341813651063
BEL_1,FRA_13,2030,206,5.578448237506251
BEL_1,FRA_13,2030,255,1.9614894126926554
BEL_1,FRA_13,2030,263,1.9984556356539704
BEL_1,FRA_13,2030,328,7.372334504389877
BEL_1,FRA_13,2030,345,-2.6810245600640925e-05
BEL_1,FRA_13,2030,431,1.0029758032504181
BEL_1,FRA_14,2030,0,1.0662327831267622
BEL_1,FRA_14,2030,21,0.3874398477629516
BEL_1,FRA_14,2030,32,0.06673143469001172
BEL_1,FRA_14,2030,77,1.098036883467935
BEL_1,FRA_14,2030,100,0.13259158481972724
BEL_1,FRA_14,2030,206,3.1232516348195265
BEL_1,FRA_14,2030,255,3.706382436071396
BEL_1,FRA_14,2030,263,1.2482705584593625e-07
BEL_1,FRA_14,2030,328,8.89190688639576e-05
BEL_1,FRA_14,2030,345,-2.65323468939718e-07
BEL_1,FRA_14,2030,431,0.18166085355410433
BEL_1,GBR_1,2030,0,-4.6747905337731015e-07
BEL_1,GBR_1,2030,21,-6.215004174193006e-08
BEL_1,GBR_1,2030,32,0.0673748286547074
BEL_1,GBR_1,2030,77,5.103819011160555
BEL_1,GBR_1,2030,100,4.9961983799597666e-05
BEL_1,GBR_1,2030,206,2.269477534132682
BEL_1,GBR_1,2030,255,4.329399751208401
BEL_1,GBR_1,2030,263,2.086704815315492
BEL_1,GBR_1,2030,328,5.593480496326662
BEL_1,GBR_1,2030,345,0.00031435181383822786
BEL_1,GBR_1,2030,431,-5.732110843828553e-06
BEL_1,LUX_1,2030,0,0.29058540582919506
BEL_1,LUX_1,2030,21,1.7711840068107234e-05
BEL_1,LUX_1,2030,32,1.7919288398355593
BEL_1,LUX_1,2030,77,1.815586302812071
BEL_1,LUX_1,2030,100,1.2328040688724995
BEL_1,LUX_1,2030,206,3.242576328875889
BEL_1,LUX_1,2030,255,2.1947540058514403
BEL_1,LUX_1,2030,263,0.03451092237664006
BEL_1,LUX_1,2030,328,4.19222147781106
BEL_1,LUX_1,2030,345,-2.4112415842947684e-05
BEL_1,LUX_1,2030,431,0.009211971766494317
BEL_1,NLD_1,2030,0,10.462332400862469
BEL_1,NLD_1,2030,21,2.5304932713016073
BEL_1,NLD_1,2030,32,0.4537543150906401
BEL_1,NLD_1,2030,77,6.5426069899412
BEL_1,NLD_1,2030,100,0.7394921871697481
BEL_1,NLD_1,2030,206,4.013784360037547
BEL_1,NLD_1,2030,255,2.792905472635799
BEL_1,NLD_1,2030,263,1.966494970286216
BEL_1,NLD_1,2030,328,6.0004842310365625
BEL_1,NLD_1,2030,345,-8.060139923031107e-06
BEL_1,NLD_1,2030,431,3.8446835715931083
BGR_1,GRC_1,2030,0,0.6825630620654008
BGR_1,GRC_1,2030,21,1.5574692395035374
BGR_1,GRC_1,2030,32,2.355929589971772
BGR_1,GRC_1,2030,77,0.6149846086573018
BGR_1,GRC_1,2030,100,3.2690171236065666
BGR_1,GRC_1,2030,206,1.7844822768025204
BGR_1,GRC_1,2030,255,0.4682885220219766
BGR_1,GRC_1,2030,263,0.3063218806401377
BGR_1,GRC_1,2030,328,1.3246395549934171
BGR_1,GRC_1,2030,345,-6.660769816371335e-05
BGR_1,GRC_1,2030,431,2.350206759317297
BGR_1,MKD_1,2030,0,2.2980925736707604e-05
BGR_1,MKD_1,2030,21,9.485730038971993e-06
BGR_1,MKD_1,2030,32,0.09791713753008346
BGR_1,MKD_1,2030,77,7.088740457970688e-07
BGR_1,MKD_1,2030,100,0.12459420791860695
BGR_1,MKD_1,2030,206,1.3722563582608038e-07
BGR_1,MKD_1,2030,255,3.1456121814513566e-07
BGR_1,MKD_1,2030,263,3.7300970736655724e-07
BGR_1,MKD_1,2030,328,3.014191844005682
BGR_1,MKD_1,2030,345,-5.26507803562933e-05
BGR_1,MKD_1,2030,431,2.236691462617946e-05
BGR_1,ROU_2,2030,0,0.8198012028876227
BGR_1,ROU_2,2030,21,1.5897681135373985e-05
BGR_1,ROU_2,2030,32,0.31040582431068786
BGR_1,ROU_2,2030,77,2.2845594335699984
BGR_1,ROU_2,2030,100,0.1512383912256993
BGR_1,ROU_2,2030,206,0.0041416036846785124
BGR_1,ROU_2,2030,255,1.259196609971329e-06
BGR_1,ROU_2,2030,263,0.09135600270765043
BGR_1,ROU_2,2030,328,0.2573647488724332
BGR_1,ROU_2,2030,345,-4.0706683561205075e-05
BGR_1,ROU_2,2030,431,2.4460728337924897e-05
BGR_1,ROU_3,2030,0,0.25235211472627017
BGR_1,ROU_3,2030,21,4.813194077480056
BGR_1,ROU_3,2030,32,3.3810432944841176
BGR_1,ROU_3,2030,77,0.43878042565907
BGR_1,ROU_3,2030,100,0.28784359984512214
BGR_1,ROU_3,2030,206,0.1731793438017731
BGR_1,ROU_3,2030,255,0.8041045462072887
BGR_1,ROU_3,2030,263,0.38636199399948323
BGR_1,ROU_3,2030,328,3.8518864849586967
