year,region,technology,carriers,spore,capacity_twh
2030,Belgium,Methane storage,methane,100,2.1574091982582573
2030,Belgium,Methane storage,methane,206,3.3396354352964503
2030,Belgium,Methane storage,methane,255,1.494756626269012
2030,Belgium,Methane storage,methane,263,0.8423867621270877
2030,Belgium,Methane storage,methane,328,3.466576601822875
2030,Belgium,Methane storage,methane,345,1.7880845789170963
2030,Belgium,Methane storage,methane,431,1.4500065698133235
2030,Bosnia Herzegovina,Battery storage,electricity,0,3.811907329537609e-06
2030,Bosnia Herzegovina,Battery storage,electricity,21,2.923351492766505e-06
2030,Bosnia Herzegovina,Battery storage,electricity,32,0.000711025572649245
2030,Bosnia Herzegovina,Battery storage,electricity,77,6.0390837457069194e-06
2030,Bosnia Herzegovina,Battery storage,electricity,100,6.874656982287085e-05
2030,Bosnia Herzegovina,Battery storage,electricity,206,3.131115581480686e-07
2030,Bosnia Herzegovina,Battery storage,electricity,255,0.0
2030,Bosnia Herzegovina,Battery storage,electricity,263,3.4818010529299896e-07
2030,Bosnia Herzegovina,Battery storage,electricity,328,2.548524560574341e-05
2030,Bosnia Herzegovina,Battery storage,electricity,345,0.00045819881783910606
2030,Bosnia Herzegovina,Battery storage,electricity,431,8.710797678965293e-07
2030,Bosnia Herzegovina,Heat storage,heat,0,0.0076050406684641985
2030,Bosnia Herzegovina,Heat storage,heat,21,0.002799308803097028
2030,Bosnia Herzegovina,Heat storage,heat,32,0.06364579211944105
2030,Bosnia Herzegovina,Heat storage,heat,77,0.00044140679369950557
2030,Bosnia Herzegovina,Heat storage,heat,100,0.00707028606187365
2030,Bosnia Herzegovina,Heat storage,heat,206,0.002552226576880842
2030,Bosnia Herzegovina,Heat storage,heat,255,0.0
2030,Bosnia Herzegovina,Heat storage,heat,263,0.06748022810699411
2030,Bosnia Herzegovina,Heat storage,heat,328,0.005737372641460815
2030,Bosnia Herzegovina,Heat storage,heat,345,0.04303377885955423
2030,Bosnia Herzegovina,Heat storage,heat,431,0.8131666184362925
2030,Bosnia Herzegovina,Hydro storage,electricity,0,0.0006016874210558049
2030,Bosnia Herzegovina,Hydro storage,electricity,21,0.0011073630340992975
2030,Bosnia Herzegovina,Hydro storage,electricity,32,0.0006621085939882205
2030,Bosnia Herzegovina,Hydro storage,electricity,77,0.0002400797860465141
2030,Bosnia Herzegovina,Hydro storage,electricity,100,0.00021054498462958694
2030,Bosnia Herzegovina,Hydro storage,electricity,206,2.2273303279835766e-05
2030,Bosnia Herzegovina,Hydro storage,electricity,255,0.0009624749955233679
2030,Bosnia Herzegovina,Hydro storage,electricity,263,0.00025884506370568044
2030,Bosnia Herzegovina,Hydro storage,electricity,328,0.0009950615696954158
2030,Bosnia Herzegovina,Hydro storage,electricity,345,0.000979579672167677
2030,Bosnia Herzegovina,Hydro storage,electricity,431,0.000869809698205467
2030,Bosnia Herzegovina,Hydrogen storage,hydrogen,0,1.1996321117045811e-05
2030,Bosnia Herzegovina,Hydrogen storage,hydrogen,21,1.5314108850391916e-05
2030,Bosnia Herzegovina,Hydrogen storage,hydrogen,32,0.0019824801477170257
2030,Bosnia Herzegovina,Hydrogen storage,hydrogen,77,7.78582577184202e-06
2030,Bosnia Herzegovina,Hydrogen storage,hydrogen,100,0.0011385631241182478
2030,Bosnia Herzegovina,Hydrogen storage,hydrogen,206,2.428830840976389e-06
2030,Bosnia Herzegovina,Hydrogen storage,hydrogen,255,0.0
2030,Bosnia Herzegovina,Hydrogen storage,hydrogen,263,5.536559937424485e-06
2030,Bosnia Herzegovina,Hydrogen storage,hydrogen,328,9.584312515236473e-06
2030,Bosnia Herzegovina,Hydrogen storage,hydrogen,345,1.1206028344659606e-05
2030,Bosnia Herzegovina,Hydrogen storage,hydrogen,431,1.552551174425401e-05
2030,Bulgaria,Battery storage,electricity,0,6.192588396369676e-06
2030,Bulgaria,Battery storage,electricity,21,2.376815667766825e-06
2030,Bulgaria,Battery storage,electricity,32,0.00065056215924071
2030,Bulgaria,Battery storage,electricity,77,5.346154632752121e-07
2030,Bulgaria,Battery storage,electricity,100,0.0003245845732470709
2030,Bulgaria,Battery storage,electricity,206,2.3623947017883291e-07
2030,Bulgaria,Battery storage,electricity,255,0.0
2030,Bulgaria,Battery storage,electricity,263,3.2237029523439795e-06
2030,Bulgaria,Battery storage,electricity,328,1.47512320562203e-05
2030,Bulgaria,Battery storage,electricity,345,6.901786399922718e-05
2030,Bulgaria,Battery storage,electricity,431,3.104202353777945e-06
2030,Bulgaria,Heat storage,heat,0,0.013086081480221947
2030,Bulgaria,Heat storage,heat,21,0.010090954597501797
2030,Bulgaria,Heat storage,heat,32,0.00325285405525913
2030,Bulgaria,Heat storage,heat,77,0.03237823712546427
2030,Bulgaria,Heat storage,heat,100,0.06845254465895834
2030,Bulgaria,Heat storage,heat,206,0.00408713007467198
2030,Bulgaria,Heat storage,heat,255,0.0
2030,Bulgaria,Heat storage,heat,263,0.0676101007474106
