year,region,technology,spore,capacity_gw
2030,Belgium,PV,255,0.0
2030,Belgium,PV,263,5.570769387182246
2030,Belgium,PV,328,0.009883943362315522
2030,Belgium,PV,345,15.00660479700842
2030,Belgium,PV,431,11.368350117235034
2030,Bosnia Herzegovina,Bio to liquids,0,0.0
2030,Bosnia Herzegovina,Bio to liquids,21,0.0
2030,Bosnia Herzegovina,Bio to liquids,32,0.0
2030,Bosnia Herzegovina,Bio to liquids,77,0.0
2030,Bosnia Herzegovina,Bio to liquids,100,0.00042916219980241297
2030,Bosnia Herzegovina,Bio to liquids,206,0.0
2030,Bosnia Herzegovina,Bio to liquids,255,0.0
2030,Bosnia Herzegovina,Bio to liquids,263,0.0
2030,Bosnia Herzegovina,Bio to liquids,328,0.0
2030,Bosnia Herzegovina,Bio to liquids,345,0.0010833428303104757
2030,Bosnia Herzegovina,Bio to liquids,431,0.0
2030,Bosnia Herzegovina,CCGT,0,0.00022552162891898393
2030,Bosnia Herzegovina,CCGT,21,0.0
2030,Bosnia Herzegovina,CCGT,32,0.042989527056600696
2030,Bosnia Herzegovina,CCGT,77,0.0
2030,Bosnia Herzegovina,CCGT,100,0.00410571729147549
2030,Bosnia Herzegovina,CCGT,206,0.0
2030,Bosnia Herzegovina,CCGT,255,0.0
2030,Bosnia Herzegovina,CCGT,263,0.0
2030,Bosnia Herzegovina,CCGT,328,0.0003718581443785124
2030,Bosnia Herzegovina,CCGT,345,0.019465796014775674
2030,Bosnia Herzegovina,CCGT,431,1.1645590258156586e-05
2030,Bosnia Herzegovina,CHP,0,0.06309531972832329
2030,Bosnia Herzegovina,CHP,21,0.002811613557043244
2030,Bosnia Herzegovina,CHP,32,0.06815508177260148
2030,Bosnia Herzegovina,CHP,77,0.27338535709101375
2030,Bosnia Herzegovina,CHP,100,0.03476319177171591
2030,Bosnia Herzegovina,CHP,206,2.128376035075574e-05
2030,Bosnia Herzegovina,CHP,255,0.0
2030,Bosnia Herzegovina,CHP,263,0.5171098032620174
2030,Bosnia Herzegovina,CHP,328,0.0016150839900023121
2030,Bosnia Herzegovina,CHP,345,0.21190904115419754
2030,Bosnia Herzegovina,CHP,431,0.35344104158457285
2030,Bosnia Herzegovina,Hydro,0,0.40602414433964584
2030,Bosnia Herzegovina,Hydro,21,0.12445994002875939
2030,Bosnia Herzegovina,Hydro,32,0.3958954736743723
2030,Bosnia Herzegovina,Hydro,77,0.30439404842527357
2030,Bosnia Herzegovina,Hydro,100,0.15892488365750107
2030,Bosnia Herzegovina,Hydro,206,0.5659434121787159
2030,Bosnia Herzegovina,Hydro,255,0.291402115045748
2030,Bosnia Herzegovina,Hydro,263,0.07091414773380325
2030,Bosnia Herzegovina,Hydro,328,0.1364470122328698
2030,Bosnia Herzegovina,Hydro,345,0.0535275313130551
2030,Bosnia Herzegovina,Hydro,431,0.5093301184438318
2030,Bosnia Herzegovina,Offshore wind,0,0.0
2030,Bosnia Herzegovina,Offshore wind,21,0.0
2030,Bosnia Herzegovina,Offshore wind,32,0.056549340443934774
2030,Bosnia Herzegovina,Offshore wind,77,0.0001904944757296069
2030,Bosnia Herzegovina,Offshore wind,100,0.018470808288392714
2030,Bosnia Herzegovina,Offshore wind,206,0.0
2030,Bosnia Herzegovina,Offshore wind,255,0.0
2030,Bosnia Herzegovina,Offshore wind,263,0.0
2030,Bosnia Herzegovina,Offshore wind,328,0.0010895563090407958
2030,Bosnia Herzegovina,Offshore wind,345,0.06091366407242956
2030,Bosnia Herzegovina,Offshore wind,431,0.00036909066991800223
2030,Bosnia Herzegovina,Onshore wind,0,0.006482611801805182
2030,Bosnia Herzegovina,Onshore wind,21,2.17798468709041
2030,Bosnia Herzegovina,Onshore wind,32,0.4710799624158663
2030,Bosnia Herzegovina,Onshore wind,77,0.009205637876132171
2030,Bosnia Herzegovina,Onshore wind,100,0.0496009141567677
2030,Bosnia Herzegovina,Onshore wind,206,9.070022130150183e-06
2030,Bosnia Herzegovina,Onshore wind,255,0.0
2030,Bosnia Herzegovina,Onshore wind,263,6.985766128715121e-05
2030,Bosnia Herzegovina,Onshore wind,328,0.0008756042173543124
2030,Bosnia Herzegovina,Onshore wind,345,0.5155034037978502
2030,Bosnia Herzegovina,Onshore wind,431,0.002770474593843246
2030,Bosnia Herzegovina,PV,0,0.024037679509336503
2030,Bosnia Herzegovina,PV,21,0.001983690857301246
2030,Bosnia Herzegovina,PV,32,3.6131320273416434
2030,Bosnia Herzegovina,PV,77,1.124330497309787
2030,Bosnia Herzegovina,PV,100,1.4320013788423178
2030,Bosnia Herzegovina,PV,206,0.0
2030,Bosnia Herzegovina,PV,255,0.0
2030,Bosnia Herzegovina,PV,263,2.1153517080138364
2030,Bosnia Herzegovina,PV,328,0.8080900890377468
2030,Bosnia Herzegovina,PV,345,3.9677325985551626
2030,Bosnia Herzegovina,PV,431,0.09561530633677662
2030,Bulgaria,Bio to liquids,0,0.0
2030,Bulgaria,Bio to liquids,21,0.0
2030,Bulgaria,Bio to liquids,32,0.0
2030,Bulgaria,Bio to liquids,77,0.0
2030,Bulgaria,Bio to liquids,100,0.00010591376663629336
2030,Bulgaria,Bio to liquids,206,0.0
2030,Bulgaria,Bio to liquids,255,0.0
2030,Bulgaria,Bio to liquids,263,0.0
2030,Bulgaria,Bio to liquids,328,0.04672250819465435
2030,Bulgaria,Bio to liquids,345,0.0024451643440783254
2030,Bulgaria,Bio to liquids,431,0.0
2030,Bulgaria,CCGT,0,0.0014762215530216942
2030,Bulgaria,CCGT,21,0.000179137582204937
2030,Bulgaria,CCGT,32,0.0026540434220225432
2030,Bulgaria,CCGT,77,0.0002798809721987123
2030,Bulgaria,CCGT,100,0.012118619770380382
2030,Bulgaria,CCGT,206,0.0
2030,Bulgaria,CCGT,255,0.0
2030,Bulgaria,CCGT,263,0.0
2030,Bulgaria,CCGT,328,0.00035787379097396
2030,Bulgaria,CCGT,345,0.009020780644261145
2030,Bulgaria,CCGT,431,0.0005220825492763112
2030,Bulgaria,CHP,0,0.006690981182671689
2030,Bulgaria,CHP,21,0.010914333371996009
2030,Bulgaria,CHP,32,0.028734785787089517
2030,Bulgaria,CHP,77,0.1156848624719184
2030,Bulgaria,CHP,100,0.07451179867326599
2030,Bulgaria,CHP,206,0.002972400187212925
2030,Bulgaria,CHP,255,0.003683421118973838
2030,Bulgaria,CHP,263,1.3500559816648385
2030,Bulgaria,CHP,328,0.0034903425793587736
2030,Bulgaria,CHP,345,0.2971564683675103
2030,Bulgaria,CHP,431,1.2165524719106477
2030,Bulgaria,Hydro,0,0.14740388113227562
2030,Bulgaria,Hydro,21,0.03465275980547085
2030,Bulgaria,Hydro,32,0.4177822099268318
2030,Bulgaria,Hydro,77,0.26865430890692416
