importing_region,exporting_region,year,spore,capacity_gw
AUT_2,DEU_7,2030,32,4.979585225197079
AUT_2,DEU_7,2030,77,2.3862319760287
AUT_2,DEU_7,2030,100,5.749708975190086
AUT_2,DEU_7,2030,206,1.153360995777638
AUT_2,DEU_7,2030,255,1.476175433228217
AUT_2,DEU_7,2030,263,0.698718462252893
AUT_2,DEU_7,2030,328,6.37026946833838
AUT_2,DEU_7,2030,345,0.19793300142783193
AUT_2,DEU_7,2030,431,1.7502148148751933
AUT_2,SVN_1,2030,0,0.8169210147130723
AUT_2,SVN_1,2030,21,0.1709801540184028
AUT_2,SVN_1,2030,32,0.14112758532105193
AUT_2,SVN_1,2030,77,0.014207393805137998
AUT_2,SVN_1,2030,100,0.39325712089776405
AUT_2,SVN_1,2030,206,0.2795395568888059
AUT_2,SVN_1,2030,255,0.40662895148487316
AUT_2,SVN_1,2030,263,0.27671235373731917
AUT_2,SVN_1,2030,328,1.8211568401363372
AUT_2,SVN_1,2030,345,0.1710033924842532
AUT_2,SVN_1,2030,431,0.6017415226869134
AUT_3,AUT_2,2030,0,6.680867804020234
AUT_3,AUT_2,2030,21,6.284955588666999
AUT_3,AUT_2,2030,32,9.866824871890849
AUT_3,AUT_2,2030,77,1.131220657971355
AUT_3,AUT_2,2030,100,0.5210766673051669
AUT_3,AUT_2,2030,206,5.873820433635863
AUT_3,AUT_2,2030,255,2.716813901831255
AUT_3,AUT_2,2030,263,2.199555305949554
AUT_3,AUT_2,2030,328,10.061302084182909
AUT_3,AUT_2,2030,345,0.4514730440179306
AUT_3,AUT_2,2030,431,6.582354411417933
AUT_3,CZE_2,2030,0,6.602763451769846
AUT_3,CZE_2,2030,21,0.8304815598318052
AUT_3,CZE_2,2030,32,1.3422559246093773
AUT_3,CZE_2,2030,77,0.0867925390485669
AUT_3,CZE_2,2030,100,1.2803887121727575
AUT_3,CZE_2,2030,206,0.6302037563206051
AUT_3,CZE_2,2030,255,1.6706242545985128
AUT_3,CZE_2,2030,263,0.06564055121527562
AUT_3,CZE_2,2030,328,1.8506388650850496
AUT_3,CZE_2,2030,345,0.0823723067430335
AUT_3,CZE_2,2030,431,0.5713278766048182
AUT_3,HUN_1,2030,0,3.0030041067418773
AUT_3,HUN_1,2030,21,5.386381026684131
AUT_3,HUN_1,2030,32,5.259716246236684
AUT_3,HUN_1,2030,77,1.6395657477482593
AUT_3,HUN_1,2030,100,4.786852047763395
AUT_3,HUN_1,2030,206,3.068073132261795
AUT_3,HUN_1,2030,255,2.0662381583321676
AUT_3,HUN_1,2030,263,0.3355088046650338
AUT_3,HUN_1,2030,328,1.046278655347168
AUT_3,HUN_1,2030,345,0.09652665991695918
AUT_3,HUN_1,2030,431,1.1310558180098156
BEL_1,DEU_3,2030,0,0.02567252408352951
BEL_1,DEU_3,2030,21,0.7213749333469393
BEL_1,DEU_3,2030,32,0.5651034439413442
BEL_1,DEU_3,2030,77,0.6396893696076709
BEL_1,DEU_3,2030,100,0.5662327009813942
BEL_1,DEU_3,2030,206,0.23919750860419675
BEL_1,DEU_3,2030,255,0.7092067346847266
BEL_1,DEU_3,2030,263,0.10567147262229468
BEL_1,DEU_3,2030,328,0.21911059699368496
BEL_1,DEU_3,2030,345,0.35986280435825746
BEL_1,DEU_3,2030,431,0.5999825103040546
BEL_1,FRA_12,2030,0,0.0026811011614123986
BEL_1,FRA_12,2030,21,0.9199325475688502
BEL_1,FRA_12,2030,32,1.85734452205356
BEL_1,FRA_12,2030,77,1.8444832363349377
