year,region,technology,spore,capacity_gw
2030,Bulgaria,Boiler,100,2.400928705055524
2030,Bulgaria,Boiler,206,0.0
2030,Bulgaria,Boiler,255,1.2880386165624027
2030,Bulgaria,Boiler,263,1.5688245438489388
2030,Bulgaria,Boiler,328,0.0020814116884931466
2030,Bulgaria,Boiler,345,1.6225697433771071
2030,Bulgaria,Boiler,431,0.00039610752567372567
2030,Bulgaria,CHP,0,0.004869410683082351
2030,Bulgaria,CHP,21,0.011035020659787833
2030,Bulgaria,CHP,32,0.029543635029436827
2030,Bulgaria,CHP,77,0.8063994220606207
2030,Bulgaria,CHP,100,0.02732550307392178
2030,Bulgaria,CHP,206,0.005330918493029127
2030,Bulgaria,CHP,255,0.0007291687507163956
2030,Bulgaria,CHP,263,1.8050537019915687
2030,Bulgaria,CHP,328,0.001879515717343319
2030,Bulgaria,CHP,345,0.13857151714040944
2030,Bulgaria,CHP,431,1.7373733464061607
2030,Bulgaria,Electric heater,0,8.07566342108307e-05
2030,Bulgaria,Electric heater,21,0.00020079418726022747
2030,Bulgaria,Electric heater,32,0.12358662703638065
2030,Bulgaria,Electric heater,77,0.0002543286124896942
2030,Bulgaria,Electric heater,100,0.0
2030,Bulgaria,Electric heater,206,0.0
2030,Bulgaria,Electric heater,255,0.0
2030,Bulgaria,Electric heater,263,0.0
2030,Bulgaria,Electric heater,328,0.001055030437080624
2030,Bulgaria,Electric heater,345,0.008175820758561622
2030,Bulgaria,Electric heater,431,0.17918426204017862
2030,Bulgaria,Heat pump,0,3.891916767406793
2030,Bulgaria,Heat pump,21,3.910127010088065
2030,Bulgaria,Heat pump,32,1.065881180198267
2030,Bulgaria,Heat pump,77,0.5747748573031779
2030,Bulgaria,Heat pump,100,0.0
2030,Bulgaria,Heat pump,206,2.909126671341551
2030,Bulgaria,Heat pump,255,0.01960789515273468
2030,Bulgaria,Heat pump,263,0.002272413917627292
2030,Bulgaria,Heat pump,328,0.9542962863757019
2030,Bulgaria,Heat pump,345,0.42006983281216004
2030,Bulgaria,Heat pump,431,0.0005985259042136908
2030,Croatia,Boiler,0,0.0018408923288429431
2030,Croatia,Boiler,21,0.0026530630772746405
2030,Croatia,Boiler,32,0.0005973279664666486
2030,Croatia,Boiler,77,0.4921832397325722
2030,Croatia,Boiler,100,2.036810969534589
2030,Croatia,Boiler,206,2.5686224136035616e-05
2030,Croatia,Boiler,255,0.15495485817262677
2030,Croatia,Boiler,263,0.12806272266028385
2030,Croatia,Boiler,328,0.001530475960230092
2030,Croatia,Boiler,345,0.07868805563083886
2030,Croatia,Boiler,431,0.44894979243539807
2030,Croatia,CHP,0,0.014551819931347776
2030,Croatia,CHP,21,0.012957951121476088
2030,Croatia,CHP,32,0.013229322302839998
2030,Croatia,CHP,77,0.030918017840480507
2030,Croatia,CHP,100,0.020845457367369973
2030,Croatia,CHP,206,0.0013109176630637968
2030,Croatia,CHP,255,0.0
2030,Croatia,CHP,263,0.0482193749041391
2030,Croatia,CHP,328,0.0023468378936053413
2030,Croatia,CHP,345,0.3568049977281759
2030,Croatia,CHP,431,1.1687845966559232
2030,Croatia,Electric heater,0,0.0003298163915787002
2030,Croatia,Electric heater,21,0.00018067466068646832
2030,Croatia,Electric heater,32,0.01952963449422868
2030,Croatia,Electric heater,77,0.00022401728628765362
2030,Croatia,Electric heater,100,0.0
2030,Croatia,Electric heater,206,0.0
2030,Croatia,Electric heater,255,0.0
2030,Croatia,Electric heater,263,0.0
2030,Croatia,Electric heater,328,0.001163465521342875
2030,Croatia,Electric heater,345,0.13707149218914905
2030,Croatia,Electric heater,431,0.09874491280485052
2030,Croatia,Heat pump,0,4.573287009816116
2030,Croatia,Heat pump,21,3.0664841981801554
2030,Croatia,Heat pump,32,2.0905165167021362
2030,Croatia,Heat pump,77,3.472215377223564
2030,Croatia,Heat pump,100,0.0
2030,Croatia,Heat pump,206,0.25880485564313055
