spore,importing_region,exporting_region,grid_transfer_capacity
2,Germany,United Kingdom,13.8305265072692
2,Greece,Albania,1.7050564254146
2,Greece,Bulgaria,8.441252980906999
2,Greece,Cyprus,2.0065056810111
2,Greece,Italy,3.1590110532577
2,Greece,North Macedonia,4.2781907059925
2,Hungary,Austria,14.631119026522299
2,Hungary,Croatia,6.6896588567021
2,Hungary,Romania,7.9890441649073995
2,Hungary,Serbia,14.719269401048399
2,Hungary,Slovakia,19.0455302524793
2,Hungary,Slovenia,28.105429939989502
2,Iceland,United Kingdom,20.3683075068875
2,Ireland,France,27.8312490586067
2,Ireland,United Kingdom,14.801365670808
2,Italy,Austria,3.7849281166838997
2,Italy,France,14.9849512953341
2,Italy,Greece,3.1590110532577
2,Italy,Montenegro,1.2329853639965
2,Italy,Slovenia,26.915517065344197
2,Italy,Switzerland,8.990156539820399
2,Latvia,Estonia,16.833054529527598
2,Latvia,Lithuania,12.8875936642238
2,Lithuania,Latvia,12.8875936642238
2,Lithuania,Poland,10.7605307353839
2,Lithuania,Sweden,1.438196478749
2,Luxembourg,Belgium,7.819291062586499
2,Luxembourg,Germany,10.324196998053099
2,Montenegro,Albania,3.4250414022076
2,Montenegro,Bosnia Herzegovina,1.6875222920212
2,Montenegro,Italy,1.2329853639965
2,Montenegro,Serbia,2.9046452489528
2,Netherlands,Belgium,14.9274193234172
2,Netherlands,Denmark,3.1046627998353
2,Netherlands,Germany,34.3427631051253
2,Netherlands,Norway,5.765285424639299
2,Netherlands,United Kingdom,16.5709392765431
2,North Macedonia,Albania,1.7953271096517
2,North Macedonia,Bulgaria,3.6289098217861997
2,North Macedonia,Greece,4.2781907059925
2,North Macedonia,Serbia,4.6609689817193996
2,Norway,Denmark,1.7007861860329998
2,Norway,Finland,1.9930468033441
2,Norway,Germany,3.2845172265642
2,Norway,Netherlands,5.765285424639299
2,Norway,Sweden,24.501954365343
2,Norway,United Kingdom,16.3745946771614
2,Poland,Czechia,20.694331018284
2,Poland,Denmark,2.3128153586946
2,Poland,Germany,16.502001986617
2,Poland,Lithuania,10.7605307353839
2,Poland,Slovakia,12.8617554604058
2,Poland,Sweden,4.5675153143135
2,Portugal,Spain,54.5859141938786
2,Romania,Bulgaria,19.438356731594098
2,Romania,Hungary,7.9890441649073995
2,Romania,Serbia,4.345255018003701
2,Serbia,Albania,4.8886455452662
2,Serbia,Bosnia Herzegovina,3.2894649027922003
2,Serbia,Bulgaria,4.272331753362001
2,Serbia,Croatia,3.0350009644109
2,Serbia,Hungary,14.719269401048399
2,Serbia,Montenegro,2.9046452489528
2,Serbia,North Macedonia,4.6609689817193996
2,Serbia,Romania,4.345255018003701
2,Slovakia,Czechia,8.6818420957169
2,Slovakia,Hungary,19.0455302524793
2,Slovakia,Poland,12.8617554604058
2,Slovenia,Austria,1.7964553207867
2,Slovenia,Croatia,3.5835066915405
2,Slovenia,Hungary,28.105429939989502
2,Slovenia,Italy,26.915517065344197
2,Spain,France,29.0187396061212
2,Spain,Portugal,54.5859141938786
2,Sweden,Denmark,6.8167452088937
2,Sweden,Finland,14.133200295995
2,Sweden,Germany,2.6117028923012
2,Sweden,Lithuania,1.438196478749
2,Sweden,Norway,24.501954365343
2,Sweden,Poland,4.5675153143135
2,Switzerland,Austria,3.9471203583684003
2,Switzerland,France,22.6614504749859
2,Switzerland,Germany,6.2316659449131
2,Switzerland,Italy,8.990156539820399
2,United Kingdom,Belgium,2.6820709795742
2,United Kingdom,Denmark,8.7193561519813
2,United Kingdom,France,12.4485891844772
2,United Kingdom,Germany,13.8305265072692
2,United Kingdom,Iceland,20.3683075068875
2,United Kingdom,Ireland,14.801365670808
2,United Kingdom,Netherlands,16.5709392765431
2,United Kingdom,Norway,16.3745946771614
3,Albania,Greece,1.0940871516086
3,Albania,Montenegro,2.4143393956558
3,Albania,North Macedonia,1.0287529720074
3,Albania,Serbia,3.581480555297
3,Austria,Czechia,4.6618868862028
3,Austria,Germany,21.2515264676219
3,Austria,Hungary,14.372028828534901
3,Austria,Italy,3.3117807310906
3,Austria,Slovenia,1.6296732256427
3,Austria,Switzerland,2.8056568662986
3,Belgium,France,39.634318194395405
3,Belgium,Germany,2.0099758717086997
3,Belgium,Luxembourg,6.2750232471673995
3,Belgium,Netherlands,14.4883994111298
3,Belgium,United Kingdom,2.4129766752441
3,Bosnia Herzegovina,Croatia,4.0195401744828
3,Bosnia Herzegovina,Montenegro,1.4147122665479
3,Bosnia Herzegovina,Serbia,3.1202553305612
3,Bulgaria,Greece,8.0285046159476
3,Bulgaria,North Macedonia,2.6866334170426
3,Bulgaria,Romania,17.6039183322675
3,Bulgaria,Serbia,3.3070667411361
3,Croatia,Bosnia Herzegovina,4.0195401744828
3,Croatia,Hungary,5.9239004086433
3,Croatia,Serbia,2.0961539883004003
3,Croatia,Slovenia,3.4359334401663
3,Cyprus,Greece,2.0052854846949
3,Czechia,Austria,4.6618868862028
3,Czechia,Germany,13.119945531724301
3,Czechia,Poland,20.532492257087
3,Czechia,Slovakia,7.6923855768856
3,Denmark,Germany,31.903352813486197
3,Denmark,Netherlands,3.4027494606631
3,Denmark,Norway,1.7042641169403998
3,Denmark,Poland,2.0200007890087
3,Denmark,Sweden,6.0198607599411
3,Denmark,United Kingdom,8.9214242518818
3,Estonia,Finland,1.4157236283583001
3,Estonia,Latvia,15.901703099898599
3,Finland,Estonia,1.4157236283583001
3,Finland,Norway,1.8876091856289
3,Finland,Sweden,13.185031305576201
3,France,Belgium,39.634318194395405
3,France,Germany,23.660569037112904
3,France,Ireland,27.9114091529961
3,France,Italy,15.4898885296548
3,France,Spain,27.026367330588602
3,France,Switzerland,20.3454750855653
3,France,United Kingdom,11.271159024247499
3,Germany,Austria,21.2515264676219
3,Germany,Belgium,2.0099758717086997
3,Germany,Czechia,13.119945531724301
3,Germany,Denmark,31.903352813486197
3,Germany,France,23.660569037112904
3,Germany,Luxembourg,8.9680703615429
3,Germany,Netherlands,36.285942181921406
3,Germany,Norway,3.2328427743782
3,Germany,Poland,15.3965983432416
3,Germany,Sweden,2.6093494222661997
3,Germany,Switzerland,6.0534325896715
3,Germany,United Kingdom,13.8788733690322
3,Greece,Albania,1.0940871516086
3,Greece,Bulgaria,8.0285046159476
3,Greece,Cyprus,2.0052854846949
3,Greece,Italy,2.8022756027645
3,Greece,North Macedonia,3.3369723847322
3,Hungary,Austria,14.372028828534901
3,Hungary,Croatia,5.9239004086433
3,Hungary,Romania,8.0012871285901
3,Hungary,Serbia,14.0837072454628
3,Hungary,Slovakia,19.2855122038032
3,Hungary,Slovenia,27.770297708104902
3,Iceland,United Kingdom,20.4433263138299
3,Ireland,France,27.9114091529961
3,Ireland,United Kingdom,14.499755146884599
3,Italy,Austria,3.3117807310906
3,Italy,France,15.4898885296548
3,Italy,Greece,2.8022756027645
3,Italy,Montenegro,1.2035735921406001
3,Italy,Slovenia,26.7536863136336
3,Italy,Switzerland,8.559735983572299
3,Latvia,Estonia,15.901703099898599
3,Latvia,Lithuania,12.089043101839701
3,Lithuania,Latvia,12.089043101839701
3,Lithuania,Poland,10.028478865999901
3,Lithuania,Sweden,1.2769888899019999
3,Luxembourg,Belgium,6.2750232471673995
3,Luxembourg,Germany,8.9680703615429
3,Montenegro,Albania,2.4143393956558
3,Montenegro,Bosnia Herzegovina,1.4147122665479
3,Montenegro,Italy,1.2035735921406001
3,Montenegro,Serbia,2.9176126588027
3,Netherlands,Belgium,14.4883994111298
3,Netherlands,Denmark,3.4027494606631
3,Netherlands,Germany,36.285942181921406
3,Netherlands,Norway,5.828524103546
3,Netherlands,United Kingdom,19.095557941691098
3,North Macedonia,Albania,1.0287529720074
3,North Macedonia,Bulgaria,2.6866334170426
3,North Macedonia,Greece,3.3369723847322
3,North Macedonia,Serbia,3.9874218533954
3,Norway,Denmark,1.7042641169403998
3,Norway,Finland,1.8876091856289
3,Norway,Germany,3.2328427743782
3,Norway,Netherlands,5.828524103546
3,Norway,Sweden,21.3186662852194
3,Norway,United Kingdom,15.5306731125056
3,Poland,Czechia,20.532492257087
3,Poland,Denmark,2.0200007890087
3,Poland,Germany,15.3965983432416
3,Poland,Lithuania,10.028478865999901
3,Poland,Slovakia,12.4716777063815
3,Poland,Sweden,4.7500745020403
3,Portugal,Spain,52.809001469856895
3,Romania,Bulgaria,17.6039183322675
3,Romania,Hungary,8.0012871285901
3,Romania,Serbia,3.5379253614399
3,Serbia,Albania,3.581480555297
3,Serbia,Bosnia Herzegovina,3.1202553305612
3,Serbia,Bulgaria,3.3070667411361
3,Serbia,Croatia,2.0961539883004003
3,Serbia,Hungary,14.0837072454628
3,Serbia,Montenegro,2.9176126588027
3,Serbia,North Macedonia,3.9874218533954
3,Serbia,Romania,3.5379253614399
3,Slovakia,Czechia,7.6923855768856
3,Slovakia,Hungary,19.2855122038032
3,Slovakia,Poland,12.4716777063815
3,Slovenia,Austria,1.6296732256427
3,Slovenia,Croatia,3.4359334401663
3,Slovenia,Hungary,27.770297708104902
3,Slovenia,Italy,26.7536863136336
3,Spain,France,27.026367330588602
3,Spain,Portugal,52.809001469856895
3,Sweden,Denmark,6.0198607599411
3,Sweden,Finland,13.185031305576201
3,Sweden,Germany,2.6093494222661997
3,Sweden,Lithuania,1.2769888899019999
3,Sweden,Norway,21.3186662852194
3,Sweden,Poland,4.7500745020403
3,Switzerland,Austria,2.8056568662986
3,Switzerland,France,20.3454750855653
3,Switzerland,Germany,6.0534325896715
3,Switzerland,Italy,8.559735983572299
3,United Kingdom,Belgium,2.4129766752441
3,United Kingdom,Denmark,8.9214242518818
3,United Kingdom,France,11.271159024247499
3,United Kingdom,Germany,13.8788733690322
3,United Kingdom,Iceland,20.4433263138299
3,United Kingdom,Ireland,14.499755146884599
3,United Kingdom,Netherlands,19.095557941691098
3,United Kingdom,Norway,15.5306731125056
4,Albania,Greece,0.8000000059004999
4,Albania,Montenegro,0.9000016034584
4,Albania,North Macedonia,0.6999999963312
4,Albania,Serbia,1.8060486722647
4,Austria,Czechia,3.1647727279707
4,Austria,Germany,17.0744328339834
4,Austria,Hungary,6.621600543758801
4,Austria,Italy,5.189446751056099
4,Austria,Slovenia,1.6000058178538
4,Austria,Switzerland,2.4000083569529
4,Belgium,France,42.39824383540309
4,Belgium,Germany,2.0000048302953
4,Belgium,Luxembourg,15.097060160952001
4,Belgium,Netherlands,34.9999651844453
4,Belgium,United Kingdom,2.4000001730948
4,Bosnia Herzegovina,Croatia,6.898115586618999
4,Bosnia Herzegovina,Montenegro,1.400003061951
4,Bosnia Herzegovina,Serbia,3.1000001943836
4,Bulgaria,Greece,5.8144747122091
4,Bulgaria,North Macedonia,0.7000061921174
4,Bulgaria,Romania,17.7150724568989
4,Bulgaria,Serbia,4.868991701264701
4,Croatia,Bosnia Herzegovina,6.898115586618999
4,Croatia,Hungary,2.3000028019039
4,Croatia,Serbia,4.9343550211037
4,Croatia,Slovenia,21.2472887801822
4,Cyprus,Greece,2.0000008291205997
4,Czechia,Austria,3.1647727279707
4,Czechia,Germany,29.0162991929902
4,Czechia,Poland,20.999555704343802
4,Czechia,Slovakia,17.1315239677677
4,Denmark,Germany,31.9498575916974
4,Denmark,Netherlands,0.7000003004102
4,Denmark,Norway,1.7000038756639
4,Denmark,Poland,2.54384814438
4,Denmark,Sweden,5.2769088688374
4,Denmark,United Kingdom,8.8836491606782
4,Estonia,Finland,0.9999999969236
4,Estonia,Latvia,1.2830030778433998
4,Finland,Estonia,0.9999999969236
4,Finland,Norway,1.9981850983693001
4,Finland,Sweden,23.183760742053398
4,France,Belgium,42.39824383540309
4,France,Germany,17.1850574787418
4,France,Ireland,27.999786659176102
4,France,Italy,7.7000076859324
4,France,Spain,31.4204232403704
4,France,Switzerland,30.9673431199046
4,France,United Kingdom,24.234253265967396
4,Germany,Austria,17.0744328339834
4,Germany,Belgium,2.0000048302953
4,Germany,Czechia,29.0162991929902
4,Germany,Denmark,31.9498575916974
4,Germany,France,17.1850574787418
4,Germany,Luxembourg,11.0169075114102
4,Germany,Netherlands,49.4997663823267
4,Germany,Norway,1.4000007723454
4,Germany,Poland,29.0216672245293
4,Germany,Sweden,2.6000033884588
4,Germany,Switzerland,6.0000021591649
4,Germany,United Kingdom,13.9999886588367
4,Greece,Albania,0.8000000059004999
4,Greece,Bulgaria,5.8144747122091
4,Greece,Cyprus,2.0000008291205997
4,Greece,Italy,1.0000000936933
4,Greece,North Macedonia,7.821097959405099
4,Hungary,Austria,6.621600543758801
4,Hungary,Croatia,2.3000028019039
